turn,studentId,resourceId,rating,comment,timestamp,feedback_generated_by
3,S0130,R0414,5,"I liked this quiz, it helped me practice what I learned. It was a good way to remember things.",2025-05-10T15:47:56.779847,llm
3,S0237,R0158,5,"This podcast was great! I learn best by listening, and it was cool to hear about ancient Greece and Rome.",2025-05-10T15:47:56.824135,llm
3,S0142,R0116,3,"This map was okay for understanding atoms, but I learn better by doing things myself. It wasn't boring though, which is good.",2025-05-10T15:47:56.868410,llm
3,S0083,R0038,5,"This quiz was a great way to test my understanding of the intro to chemistry. I like learning by doing, and this quiz let me do that!",2025-05-10T15:47:56.912995,llm
4,S0185,R0070,5,"This document was great! I really like learning about cells, and being able to read about it is how I learn best.",2025-05-10T15:48:13.573140,llm
4,S0017,R0106,5,"This quiz was really hands-on and helped me understand cell structure better.  I like learning about cells, so this was fun.",2025-05-10T15:48:13.618333,llm
4,S0246,R0093,5,"This quiz was awesome! I love doing stuff with heat and temperature, and this was a good way to practice.",2025-05-10T15:48:13.661749,llm
4,S0058,R0022,5,This simulation was awesome! I learned so much about force and motion by actually doing it.,2025-05-10T15:48:13.706361,llm
4,S0202,R0313,5,This was great! I like learning about logic and listening to it as a podcast worked really well for me.,2025-05-10T15:48:13.750256,llm
4,S0039,R0382,4,"This video was okay, but I wish there were more hands-on parts. I like learning about physics, though.",2025-05-10T15:48:13.793638,llm
4,S0089,R0293,5,"This was awesome! I love listening to stuff about different places, and the audio format is the best for me.",2025-05-10T15:48:13.837520,llm
4,S0165,R0154,5,"This timeline on Turkish culture was really cool! Since I like Turkish culture and learn best by seeing things, this was perfect.",2025-05-10T15:48:13.881824,llm
4,S0232,R0088,5,"This document was great! It really helped me understand bonding basics, and I like reading about this stuff.",2025-05-10T15:48:13.926038,llm
4,S0178,R0058,5,Loved listening to this! It was easy to follow and I like learning about landforms and climate.,2025-05-10T15:48:13.969884,llm
4,S0181,R0019,3,"The topic was pretty cool, but I learn better when I can just listen instead of watching a video.",2025-05-10T15:48:14.014089,llm
4,S0013,R0235,4,The quiz was a good way to check what I learned about landforms and climate. It was helpful to move around and answer the questions.,2025-05-10T15:48:14.058118,llm
4,S0149,R0005,5,"This video was great! Learning new Turkish words was super helpful, and seeing them on screen made it easy to remember.",2025-05-10T15:48:14.101980,llm
4,S0235,R0406,3,This map was okay for learning about human geography. I usually like reading more than looking at pictures.,2025-05-10T15:48:14.146103,llm
4,S0055,R0320,2,"This simulation was okay, but I learn better with pictures or diagrams. It was a bit hard to follow without seeing things clearly.",2025-05-10T15:48:14.191462,llm
4,S0249,R0278,5,This slideshow was great! I really like learning about novels and the pictures helped a lot.,2025-05-10T15:48:14.239099,llm
4,S0194,R0153,4,"I usually like listening more than watching, but I really like physics so this was still pretty good.",2025-05-10T15:48:14.284031,llm
4,S0137,R0045,3,This video was okay. I usually like listening to things more than watching.,2025-05-10T15:48:14.328197,llm
4,S0146,R0471,5,This map was really helpful for understanding early civilizations. I liked seeing where everything was located.,2025-05-10T15:48:14.375896,llm
4,S0112,R0252,4,The quiz was a good way to test what I learned. I liked the hands-on feel of it.,2025-05-10T15:48:14.420202,llm
4,S0001,R0423,3,"The pictures helped me understand, but biology isn't really my favorite subject.",2025-05-10T15:48:14.509197,llm
4,S0200,R0314,5,"This podcast was awesome! I love learning about plot and characters, and listening to it made it super easy to understand.",2025-05-10T15:48:14.554023,llm
4,S0049,R0470,3,"The topic was good, I like learning about equations. I usually prefer reading though.",2025-05-10T15:48:14.598712,llm
4,S0184,R0276,5,This quiz was awesome! I really liked doing stuff to learn about heat and temperature.,2025-05-10T15:48:14.642841,llm
4,S0155,R0326,5,This video was really helpful for understanding Turkish grammar. I like learning with videos.,2025-05-10T15:48:14.687995,llm
4,S0041,R0426,4,This simulation was pretty cool! It helped me understand matter and properties better by letting me mess around with stuff.,2025-05-10T15:48:14.738587,llm
4,S0084,R0354,3,"The topic was pretty cool, but I learn better by reading stuff than doing quizzes.",2025-05-10T15:48:14.782863,llm
4,S0119,R0316,3,"The quiz was okay, but I usually learn better by reading about things instead of doing activities.",2025-05-10T15:48:14.826421,llm
4,S0080,R0063,5,This article was perfect for me! I love reading about classification and this format really works with how I learn.,2025-05-10T15:48:14.870263,llm
4,S0129,R0142,3,"The video was okay, but I usually learn better from listening. The topic was pretty interesting though.",2025-05-10T15:48:14.914422,llm
4,S0008,R0404,5,This document was really helpful! It explained everything clearly and I like reading about heat and temperature.,2025-05-10T15:48:14.959344,llm
5,S0134,R0180,5,"This document was right up my alley! I like reading about physics, and this explained the intro stuff really well.",2025-05-10T15:48:31.098029,llm
5,S0007,R0213,4,"I liked that this was about Turkish pronunciation, which I'm interested in. I usually prefer reading, but the video was still pretty helpful.",2025-05-10T15:48:31.143699,llm
5,S0150,R0448,4,The quiz was pretty good. It was a different way to learn about drama.,2025-05-10T15:48:31.187637,llm
5,S0050,R0139,5,"This article was really good! It's exactly what I like to read about, and it helped me understand short stories better.",2025-05-10T15:48:31.232393,llm
5,S0015,R0145,5,This article was really interesting. I liked reading about Turkish culture.,2025-05-10T15:48:31.279622,llm
5,S0119,R0302,3,"The quiz was okay, but I would have preferred something with more reading or writing instead of just answering questions.",2025-05-10T15:48:31.607509,llm
5,S0223,R0066,3,"The topic was cool, but I usually learn better when I can see things. It was okay though.",2025-05-10T15:48:31.651780,llm
5,S0228,R0173,5,This was great! I really liked being able to do the simulation myself.,2025-05-10T15:48:31.696266,llm
5,S0144,R0470,5,This video was really helpful for understanding equations. I like watching videos to learn math.,2025-05-10T15:48:31.742284,llm
5,S0045,R0392,5,"This simulation was awesome! It helped me really get a feel for biology stuff, which I actually like.",2025-05-10T15:48:31.786681,llm
5,S0109,R0197,5,"This simulation was really helpful! It made learning about intro to chemistry much more hands-on, which is how I learn best.",2025-05-10T15:48:32.114628,llm
5,S0064,R0328,5,"This document was perfect for me. I love learning about landforms and climate, and I learn best by reading.",2025-05-10T15:48:32.158851,llm
5,S0067,R0402,5,This video was really good! I like learning about chemistry and the visuals helped me understand the concepts.,2025-05-10T15:48:32.204921,llm
5,S0069,R0359,5,This was super helpful! I really liked the activities that let me practice the words myself.,2025-05-10T15:48:32.248761,llm
5,S0139,R0258,3,The video was okay. I wish there were more things to do while watching it.,2025-05-10T15:48:32.337567,llm
5,S0025,R0112,5,The slideshow was really helpful because I learn best by seeing things.  Cell structure is also a topic I find pretty interesting.,2025-05-10T15:48:32.381883,llm
5,S0052,R0238,3,"The quiz was okay since I like short stories, but I prefer learning by reading instead of doing activities.",2025-05-10T15:48:32.425838,llm
5,S0237,R0245,5,This podcast was really easy to listen to and helped me understand matter and its properties.,2025-05-10T15:48:32.469953,llm
5,S0061,R0202,5,This simulation was great! I really liked being able to do things hands-on for reactions.,2025-05-10T15:48:32.558165,llm
5,S0060,R0176,5,"This article was super helpful! Reading is how I learn best, and I really like learning about ancient history.",2025-05-10T15:48:32.602707,llm
5,S0125,R0340,5,"This quiz was great!  I like biology, and the interactive stuff really helps me learn.",2025-05-10T15:48:32.647439,llm
5,S0030,R0330,5,"This document was really helpful for understanding early civilizations. I like reading about this stuff, and the format was easy to follow.",2025-05-10T15:48:32.692745,llm
5,S0031,R0106,3,"The topic was interesting, but I usually learn better when I can read about it instead of doing something hands-on.",2025-05-10T15:48:32.737427,llm
5,S0099,R0413,5,"This video on novels was really interesting! It covered a topic I like, and the video format worked well for me.",2025-05-10T15:48:32.782626,llm
5,S0071,R0084,5,"This was great!  I love learning about plot and characters, and listening to it made it easy to follow.",2025-05-10T15:48:32.826905,llm
5,S0085,R0086,4,"This simulation was pretty cool since I like learning about drama, and doing stuff helps me understand it better.",2025-05-10T15:48:32.871629,llm
5,S0177,R0464,3,"This simulation was okay, but I usually learn better when I can see things visually. The topic was pretty interesting though.",2025-05-10T15:48:32.915657,llm
